Colonia,Lon,Lat,Id
"LOS CASTILLOS (37209)",-101.6711754333,21.2022454542644,178
"LOS CASTILLOS NORTE (37209)",-101.667161196032,21.20508688745,179
"PASO DEL RIO DE LOS CASTILLOS (37209)",-101.665144990649,21.1974468696773,180
"REAL DEL CASTILLO (37209)",-101.680885782153,21.2115025906721,181
"RIVERA DE LOS CASTILLOS (37209)",-101.665790416095,21.2029627148574,182
"SALSIHUILES (37209)",-101.66521115647,21.2087173408327,183
"SAN ISIDRO AZTECA (37209)",-101.674776265712,21.2068965725189,184
"SAN ISIDRO LABRADOR (37209)",-101.672902764751,21.2065837910092,185
"VALLE DE LAS TORONJAS (37209)",-101.677029889418,21.2108457276483,186
"VISTA AEREO LOS CASTILLOS (37209)",-101.667397116983,21.2081176863822,187
"ADQUIRIENTES DE IBARRILLA (37209)",-101.653548544929,21.1909776235186,188
"ARBOLEDAS DE LOS CASTILLOS II (37209)",-101.676128167981,21.2070584369973,189
"LAS HUERTAS DE SAN BERNARDO (37210)",-101.627158326196,21.1575687636876,190
"LOS NARANJOS (37210)",-101.63722121109,21.1569492926758,191
"POBLADO LOS NARANJOS (37210)",-101.627954126382,21.1665765648567,192
"PRADERAS DE SANTA ROSA (37210)",-101.649063840824,21.1514070434004,193
"RIVERA DE SAN BERNARDO (37210)",-101.632197643107,21.1530109033306,194
"SAN BENIGNO (37210)",-101.6472824835,21.1505287735841,195
"SAN BERNARDITO (37210)",-101.633099721575,21.1585517739452,196
"SAN BERNARDO NORTE (37210)",-101.630735193474,21.1656652971158,197
"SANTA CRUZ (37210)",-101.628588497361,21.170371765045,198
"SANTA ROSA DE LIMA (37210)",-101.652231495887,21.1518407855239,199
"SANTA ROSA DE LIMA IVEG (37210)",-101.649502004014,21.1492049607404,200
"SANTA ROSA DE LIMA SUR (37210)",-101.650242267467,21.1473761452929,201
"SUR LOS NARANJOS (37210)",-101.642086623399,21.1548506194605,202
"VALLE DE LOS NARANJOS (37210)",-101.633794470339,21.1566884020482,203
"VALLE DE SAN BERNARDO (37210)",-101.630653971204,21.1558311691732,204
"VILLA CONTEMPORANEA (37210)",-101.647026177616,21.1524335232885,205
"VILLAS VASCO DE QUIROGA (37210)",-101.655759761104,21.1491508629221,206
"COUNTRY CLUB LOS NARANJOS (37210)",-101.639330535876,21.1614950265742,207
"FRACC REAL DE LOS NARANJOS (37210)",-101.634336968376,21.1626854681599,208
"SAN JOSE DEL CONSUELO II (37217)",-101.649206556038,21.1555884052808,209
"LOS PIRULES (37217)",-101.645295400862,21.1543951838907,210
"RES VICTORIA (37217)",-101.6464217019,21.1552069650294,211
"FRACC SAN JOSE 2DA SECC (37218)",-101.647079133295,21.1613202406367,212
"FRACCIONES SAN JOSE DEL CONSUELO I (37218)",-101.649445755018,21.1626257261964,213
"MISION DE SAN JOSE (37218)",-101.646711238633,21.1598650539291,214
"REAL DE SAN JOSE (CONSERVATORIO) (37218)",-101.649064729354,21.1605840295294,215
"RINCONADA DEL NORTE (37218)",-101.651160959111,21.1644473533627,216
"CONDADO (37218)",-101.651772760704,21.1619094485623,217
"CONJUNTO HAB SAN JOSE (37218)",-101.647784850191,21.1604915558407,218
"SAN ANTONIO DEL ALAMBRADO (37230)",-101.661043347373,21.138345200071,219
"JARDINES DE PROVIDENCIA (37230)",-101.658942475315,21.1381510094616,220
"RINCONADA DE LAS FLORES (37230)",-101.65736414354,21.1389387463261,221
"LA ESPERANZA DE ALFARO (37233)",-101.605265063032,21.1388777147348,222
"ALFARO (37233)",-101.607410550457,21.1508807259648,223
"LA CAPILLA DE ALFARO (37233)",-101.608491032835,21.1447769552923,224
"PROVIDENCIA (37234)",-101.656858862147,21.1416795471734,225
"REAL PROVIDENCIA (37234)",-101.653926675676,21.1380934222736,226
"REAL PROVIDENCIA II (37234)",-101.65644408043,21.1338605544211,227
"SAN ANTONIO DEL ALAMBRADO NORTE (37234)",-101.659083353214,21.1404676099922,228
"BOSQUES DEL VALLE (37234)",-101.656297095235,21.1396038210596,229
"MISION PROVIDENCIA (37234)",-101.65726332864,21.1399913488218,230
"PRESIDENTES DE MEXICO (37236)",-101.650593859219,21.1422204543106,231
"BENITO JUAREZ (37236)",-101.64883406494,21.1398625263346,232
"LINARES (37236)",-101.65589889162,21.1433149004623,233
"UNIDAD DEPORTIVA (37237)",-101.654256539807,21.1454065589656,234
"ANGELES Y MEDINA (37238)",-101.628343037301,21.140278189387,235
"BRISAS DEL VERGEL (37238)",-101.62804585813,21.1532980118938,236
"CAÑADA DE ALFARO (37238)",-101.628822616071,21.1463511304004,237
"EL PEÑON (37238)",-101.613036036484,21.1466974161529,238
"FRACCIONES DE CAÑADA DE ALFARO (37238)",-101.61790163765,21.1334223066942,239
"FRACCIONES DE MESA MEDINA (37238)",-101.625619620349,21.1440317257836,240
"HACIENDA DE GUADALUPE (37238)",-101.62948124986,21.1521490056721,241
"HACIENDA DE LOS NARANJOS (37238)",-101.63101533409,21.1512412299988,242
"HACIENDA SANTA FE (37238)",-101.62217431849,21.1302753801048,243
"HACIENDA SANTA FE 2DA SECC (37238)",-101.617666283272,21.128330551214,244
"JARDINES DE MARAVILLAS (37238)",-101.631693322189,21.1495537529034,245
"LAS MARAVILLAS (37238)",-101.630897551681,21.1463462632695,246
"LOMA DE LOS NARANJOS (37238)",-101.627201062879,21.1552100209258,247
"LOMAS DE MEDINA (37238)",-101.619351778262,21.1467469750929,248
"MARAVILLAS II (37238)",-101.629373504783,21.1486135737575,249
"MARAVILLAS III (37238)",-101.633151402915,21.145140801207,250
"MEDINA (37238)",-101.622220869198,21.152157916155,251
"PASEO DE MARAVILLAS (37238)",-101.630933625287,21.1411072842738,252
"PIA MONTE (37238)",-101.62073416395,21.125592493299,253
"PRADO HERMOSO (37238)",-101.635746089111,21.1509203824697,254
"TERRACOTA (37238)",-101.61935272255,21.1247820179758,255
"AMPL MARAVILLAS (37238)",-101.631718215423,21.1445468304719,256
"AMPL MEDINA (37238)",-101.615939885317,21.1510669962449,257
"UNION COMUNITARIA DE LEON (37239)",-101.645442397748,21.1448420266383,258
"REVOLUCION (37239)",-101.644761136117,21.1462343462381,259
"UNIDAD DEPORTIVA II (37239)",-101.643732833304,21.1501680024514,260
"PALOMARES (37240)",-101.669564403974,21.130848125041,261
"POPULAR ANAYA (37240)",-101.669113146654,21.1370576793685,262
"SAN AGUSTIN (37240)",-101.673360447726,21.1364919185672,263
"SANTA FE (37240)",-101.67580424477,21.1293433317294,264
"UNIDAD HAB LA BRISA (37240)",-101.670980270523,21.1317769556421,265
"LA BRISA (37240)",-101.672826031896,21.1323553923875,266
"MICHOACAN (37240)",-101.676113658319,21.1330625742784,267
"EL LUCERO (37249)",-101.667854501384,21.1362575903156,268
"SAN FELIPE DE JESUS (37250)",-101.650255072014,21.1314231866308,269
"EL CORTIJO (37250)",-101.660742236365,21.1359659033038,270
"LA CARMONA (37250)",-101.662332915831,21.1327512667576,271
"UNIDAD Y ESFUERZO POPULAR (37258)",-101.643918697989,21.1349880353696,272
"LOS ANGELES (37258)",-101.643154590812,21.1311649813788,273
"LOS PORTONES (37258)",-101.636924837711,21.1307323661059,274
"SAN MANUEL (37259)",-101.653652658543,21.1321756197091,275
"FRACC EX HACIENDA MORENA (37260)",-101.658065196552,21.129589167706,276
"KILLIAN (37260)",-101.659590151764,21.1232177084306,277
"LA CANDELARIA (37260)",-101.658672436783,21.1279009459719,278
"LAS JOSEFINAS (37260)",-101.663433858686,21.1222734913286,279
"LOS PINITOS (37260)",-101.661041668338,21.1289774209712,280
