Calle,Lon,Lat,Id
"ANDADOR TARTAGAL",-101.668922485884,21.0973510525091,214
"ANDADOR TEPEYAC",-101.671322259315,21.0993215651382,215
"ANDADOR TIERRA DEL FUEGO",-101.669789740804,21.0973428183165,216
"ANDADOR TORTOLITA",-101.697683572939,21.1015666875526,217
"ANDADOR TRES",-101.59777811167,21.1170032501,218
"ANDADOR TUCUMÁN",-101.670457595342,21.095464231689,219
"ANDADOR TZULA",-101.670660998606,21.1991986159234,220
"ANDADOR UNO",-101.598478420942,21.1173828755194,221
"ANDADOR URRACA",-101.698409410366,21.101818672194,222
"ANDADOR VESTA",-101.66914177927,21.134491891088,223
"ANDADOR VICENTE GARCÍA GONZÁLEZ",-101.668856474746,21.1665934568226,224
"ANDADOR WOLFRAMITA",-101.760993469873,21.1496497357468,225
"ANDADOR ZURITO",-101.603106048905,21.121067992394,226
"AVENIDA 15 DE DICIEMBRE",-101.629240415912,21.1125426433284,227
"AVENIDA AMÉRICAS",-101.674233044619,21.1121767118858,228
"AVENIDA ARROYO DE LAS LIEBRES",-101.64019856691,21.1062853745704,229
"AVENIDA ASÍS",-101.601823878269,21.0997020970742,230
"AVENIDA BEATO PEDRO DE DUEÑAS",-101.718938108807,21.1048616713291,231
"AVENIDA BENEVENTO",-101.656576332032,21.1023042656294,232
"AVENIDA BOSQUE DE ECHEVESTE",-101.670973254012,21.1735738083846,233
"AVENIDA CALZADA DE LOS CÁRCAMOS",-101.683541544906,21.1651098137669,234
"AVENIDA CAMINO A IBARRILLA",-101.663462860023,21.1640794272238,235
"AVENIDA CAMINO A SAN JUAN",-101.761504558189,21.1413911130095,236
"AVENIDA CANTERA MEXICANA",-101.677850890406,21.1543365777709,237
"AVENIDA CANTERA TIKUL",-101.677761084107,21.1549011307826,238
"AVENIDA CAÑADA DE MARICHES",-101.726755731892,21.1524208986056,239
"AVENIDA CERRALVO",-101.659858319706,21.1892448349812,240
"AVENIDA CIRCUNVALACIÓN ORIENTE",-101.688009231141,21.1475618238192,241
"AVENIDA COLINAS DE GRAN JARDÍN",-101.715192873153,21.1858415557433,242
"AVENIDA COLMENAR",-101.714490148302,21.1239064659107,243
"AVENIDA CONGRESO DE CHILPANCINGO",-101.663781275785,21.1453459230759,244
"AVENIDA CONSTELACIONES",-101.588014036419,21.099112909833,245
"AVENIDA CONTINENTAL",-101.639576209075,21.0728641463633,246
"AVENIDA COUNTRY CLUB GRAN JARDÍN",-101.72127281269,21.1979183329647,247
"AVENIDA DE LA MORADA",-101.641651043061,21.0731938594091,248
"AVENIDA DE LAS EXPOSICIONES",-101.726729878181,21.1179229004215,249
"AVENIDA DE LAS HORTENSIAS",-101.640979909595,21.094409433049,250
"AVENIDA DE LAS ISLAS",-101.721752983214,21.1209907478248,251
"AVENIDA DE LAS LIEBRES",-101.645396309292,21.0908248208089,252
"AVENIDA DE LAS ROSAS",-101.642957923469,21.0945724765386,253
"AVENIDA DEL CANAL",-101.701981018409,21.1423187205326,254
"AVENIDA DEL TRABAJO",-101.667122447843,21.0865598039918,255
"AVENIDA EL PARAÍSO",-101.721459626161,21.1351543496936,256
"AVENIDA ESPAÑITA",-101.669331691804,21.1217405234065,257
"AVENIDA FIDEL VELÁZQUEZ",-101.670218276752,21.1650529937007,258
"AVENIDA FORESTA JARDÍN",-101.615400974675,21.0611918743056,259
"AVENIDA FRANCIA",-101.691461770744,21.1339574473784,260
"AVENIDA GALENA",-101.584452087094,21.0939738293288,261
"AVENIDA GUADALUPE ORIENTAL",-101.655526992277,21.1057707788984,262
"AVENIDA GUANAJUATO",-101.666067619525,21.1419975753279,263
"AVENIDA JARDÍN AMERICANO",-101.716555757942,21.1799905557196,264
"AVENIDA JARDÍN DE LAS PALMAS",-101.721075917819,21.1925050896382,265
"AVENIDA JARDÍN MEXICANO",-101.711453933652,21.1804809236558,266
"AVENIDA JARDÍN REAL",-101.632733598577,21.161000047814,267
"AVENIDA LA LUZ",-101.651372858271,21.1196904396621,268
"AVENIDA LA MERCED",-101.69675329353,21.1087440670851,269
"AVENIDA LAS TORRES",-101.719756840806,21.14442310804,270
"AVENIDA LEÓN",-101.693185923092,21.1466047005466,271
"AVENIDA LIBRAMIENTO PONIENTE",-101.729968925925,21.1530415261456,272
"AVENIDA LOS LECHUGUEROS",-101.694550355614,21.0920925294467,273
"AVENIDA MALECÓN DEL RÍO DE LOS GÓMEZ",-101.680891772537,21.1401036300785,274
"AVENIDA MANUEL DE AUSTRI",-101.702098725276,21.1417174751814,275
"AVENIDA MARÍA ASUNCIÓN",-101.653304705448,21.1093234418234,276
"AVENIDA MIGUEL ALEMÁN",-101.685526679613,21.1264725626587,277
"AVENIDA MIGUEL DE CERVANTES SAAVEDRA NORTE",-101.702707536624,21.1397263770707,278
"AVENIDA MOLINO DE LEÓN",-101.606451209456,21.0985889702048,279
"AVENIDA OLÍMPICA",-101.619726492484,21.1041093875382,280
"AVENIDA ORIENTAL",-101.65419319516,21.1122177308636,281
"AVENIDA PANORAMA",-101.694765557085,21.1525110745265,282
"AVENIDA PASEO DE ECHEVESTE SUR",-101.677741188405,21.1653331594978,283
"AVENIDA PASEO DE LA FRAGUA",-101.743292147315,21.1526986704073,284
"AVENIDA PASEO DE LAS LIEBRES",-101.647251465882,21.0845192728462,285
"AVENIDA PASEO DEL MORAL",-101.68865022203,21.1536589440051,286
"AVENIDA PEÑÓN DE GIBRALTAR",-101.640753628477,21.0855831069749,287
"AVENIDA PRADERA",-101.64706143104,21.1105970563091,288
"AVENIDA PROLONGACIÓN OLÍMPICA",-101.639027081235,21.1104600697764,289
"AVENIDA SAN NICOLÁS DE BARÍ",-101.58730336246,21.1246300523351,290
"AVENIDA SANTO TORIBIO ROMO",-101.587168106223,21.115320016006,291
"AVENIDA SARDANETA",-101.637875620763,21.1786903239993,292
"AVENIDA SATURNO",-101.662949244612,21.1360208743639,293
"AVENIDA TENERÍAS",-101.691288581103,21.0658457112107,294
"AVENIDA TRANSPORTISTAS",-101.670576894908,21.1637377442016,295
"AVENIDA UNIVERSIDAD",-101.705206316418,21.148207452512,296
"BOULEVARD A. TÉLLEZ CRUCES",-101.634752933601,21.147870076343,297
"BOULEVARD ADOLFO LÓPEZ MATEOS ORIENTE",-101.637005821661,21.1032300214484,298
"BOULEVARD ADOLFO LÓPEZ MATEOS PONIENTE",-101.684968696148,21.1487144282283,299
"BOULEVARD AEROPUERTO",-101.624571852609,21.093419647299,300
"BOULEVARD ALGECIRAS",-101.699745169804,21.1195332255779,301
"BOULEVARD ANTONIO MADRAZO",-101.660569724813,21.1403561687023,302
"BOULEVARD ANTONIO MARTÍNEZ AGUAYO",-101.749689245362,21.1432811192283,303
"BOULEVARD ARISTÓTELES",-101.73288390297,21.1389018165656,304
"BOULEVARD BARRIO DE GUADALUPE",-101.646551458783,21.1115568568635,305
"BOULEVARD CALCOPIRITA",-101.732040343387,21.1235087029643,306
"BOULEVARD CALÍOPE",-101.736337583812,21.1494242891997,307
"BOULEVARD CAMPECHE",-101.702755950726,21.1273923253955,308
"BOULEVARD CAMPESTRE",-101.693768304264,21.1505862195784,309
"BOULEVARD CAÑADA DE LOS FLORES",-101.750894272153,21.1438309341503,310
"BOULEVARD CAÑAVERAL",-101.574279279865,21.0616848044102,311
"BOULEVARD CAOS",-101.729053557276,21.144009411805,312
"BOULEVARD CASA DE PIEDRA",-101.69866243912,21.1575538466328,313
"BOULEVARD CHICHIMECAS",-101.650671080406,21.1140742634166,314
"BOULEVARD CIRCUITO SIGLO XXI PONIENTE",-101.601179981671,21.0733695419709,315
"BOULEVARD CIUDAD INDUSTRIAL",-101.686806583957,21.058930325774,316
"BOULEVARD CLÍO",-101.730025768474,21.1511913329138,317
"BOULEVARD CONSTELACIÓN",-101.729584156384,21.1314898650652,318
"BOULEVARD COUNTRY",-101.736500502296,21.1584698609954,319
"BOULEVARD DE LAS ORQUÍDEAS",-101.608605360949,21.1046520060852,320
"BOULEVARD DEL BALLO",-101.584712296036,21.067363025783,321
"BOULEVARD DEL PERDIGÓN",-101.649098776787,21.1720912732937,322
"BOULEVARD DEL SOL",-101.667023276903,21.1590437579631,323
"BOULEVARD DELTA",-101.599400404105,21.1200775519375,324
"BOULEVARD EL CARMEN",-101.607778690634,21.1201179180076,325
"BOULEVARD EL YACIMIENTO",-101.724550961158,21.13060216226,326
"BOULEVARD ELECTRICISTAS DE ECHEVESTE",-101.664801464016,21.1802700002604,327
"BOULEVARD ÉPSILON",-101.618184786499,21.0770007462875,328
"BOULEVARD EXPOSICIONES",-101.723246330853,21.1146331740817,329
"BOULEVARD GENERAL FRANCISCO VILLA",-101.634291859282,21.145623642717,330
"BOULEVARD GONZÁLEZ BOCANEGRA",-101.670690386652,21.1069118629921,331
"BOULEVARD GUANAJUATO",-101.673759748514,21.1431790605652,332
"BOULEVARD HACIENDA LOS OTATES",-101.582184812579,21.1029685066913,333
"BOULEVARD HACIENDAS DE LEÓN",-101.587367356418,21.1056093155175,334
"BOULEVARD HERMANOS ALDAMA",-101.677647319868,21.1075450135916,335
"BOULEVARD HERMENEGILDO BUSTOS",-101.674983685349,21.1556946152144,336
"BOULEVARD HILARIO MEDINA",-101.644092808536,21.157166417796,337
"BOULEVARD J. J. TORRES LANDA ORIENTE",-101.639474940016,21.0973917414358,338
"BOULEVARD J. J. TORRES LANDA PONIENTE",-101.731047964892,21.0941751866356,339
"BOULEVARD JORGE VÉRTIZ CAMPERO",-101.630974923054,21.1221653892214,340
"BOULEVARD JOSÉ MARÍA MORELOS",-101.679599536689,21.1705960073999,341
"BOULEVARD JOYAS DE CASTILLA",-101.757445714548,21.1334563217519,342
"BOULEVARD JUAN ALONSO DE TORRES",-101.677066463946,21.1532112093299,343
"BOULEVARD KIWANO",-101.731437922622,21.1413408894705,344
"BOULEVARD LA LUZ",-101.625876280566,21.1139242870763,345
"BOULEVARD LAS PALMAS",-101.700055642754,21.1141906248974,346
"BOULEVARD LAS POMPAS",-101.728882799402,21.1324515488,347
"BOULEVARD LIBRAMIENTO PONIENTE",-101.716297568878,21.1336345538916,348
"BOULEVARD MALAQUITA",-101.737521779606,21.155866212156,349
"BOULEVARD MANUEL J. CLOUTHIER",-101.694800931018,21.1680246388261,350
"BOULEVARD MARIANO ESCOBEDO",-101.703202630497,21.1171823455888,351
"BOULEVARD MARIANO ESCOBEDO PONIENTE",-101.727649044668,21.1040384247336,352
"BOULEVARD MÁRTIREZ SANTOS",-101.587166277002,21.1178150393326,353
"BOULEVARD MATERIALISTAS DE ECHEVESTE",-101.664798300201,21.1785528500341,354
"BOULEVARD METALES DE ECHEVESTE",-101.665415822382,21.1858172533636,355
"BOULEVARD MIGUEL DE CERVANTES SAAVEDRA",-101.706699187418,21.1223045107446,356
"BOULEVARD MIGUEL HIDALGO",-101.664226423111,21.1651294495645,357
"BOULEVARD NICARAGUA",-101.696812980634,21.1138939727287,358
"BOULEVARD OASIS",-101.645265196232,21.1100963236864,359
"BOULEVARD PASCAL-KANT",-101.756090456909,21.1377951684124,360
"BOULEVARD PASEO DE JEREZ",-101.641090970472,21.0979112528021,361
"BOULEVARD PASEO DE JEREZ NORTE",-101.63928536113,21.1055897714509,362
"BOULEVARD PASEO DE JEREZ SUR",-101.642159830012,21.0917500244441,363
"BOULEVARD PASEO DEL GIGANTE",-101.618011604052,21.1253112815904,364
"BOULEVARD PASEO DEL JUNCAL",-101.688594377728,21.1530454903572,365
"BOULEVARD PEDREGAL DEL SOL",-101.640008368391,21.109382033554,366
"BOULEVARD PEDREGALES DE ECHEVESTE",-101.668474074019,21.1910990310955,367
"BOULEVARD PEDRO DE ALCÁNTARA",-101.721128045223,21.1028889778441,368
"BOULEVARD PERDIGÓN",-101.629524034207,21.1601152507183,369
"BOULEVARD PORTA FONTANA",-101.715277868978,21.1901834223272,370
"BOULEVARD PORTA TOSCANA",-101.715053366719,21.1951276764012,371
"BOULEVARD POTRERO DE CORPUS",-101.602333335215,21.120555678302,372
"BOULEVARD PUMA",-101.65880482868,21.1797569442276,373
